Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,109.22375,-93.208318,180.0,bottom
C10,1uF,C_0402_1005Metric,37.900888,-55.70625,0.0,bottom
C11,100nF,C_0402_1005Metric,50.28,-67.46875,0.0,bottom
C12,100nF,C_0402_1005Metric,105.000079,-93.160507,180.0,bottom
C13,220pF NP0,C_0402_1005Metric,101.6,-96.52375,90.0,bottom
C14,100nF,C_0402_1005Metric,187.805,-83.34375,0.0,bottom
C2,100nF,C_0402_1005Metric,109.97486,-82.199588,270.0,bottom
C3,100nF,C_0402_1005Metric,111.294969,-89.609624,90.0,bottom
C4,100nF,C_0402_1005Metric,109.850583,-91.030799,180.0,bottom
C5,10uF,C_0603_1608Metric,99.21875,-81.75625,0.0,bottom
C6,100nF,C_0402_1005Metric,98.37262,-83.055658,0.0,bottom
C7,1uF,C_0402_1005Metric,109.242618,-94.230474,180.0,bottom
C8,100nF,C_0402_1005Metric,109.85125,-92.118689,180.0,bottom
C9,1uF,C_0402_1005Metric,37.937327,-50.75,0.0,bottom
H19,MountingHole,HOLE_M2,98.425,-91.28125,0.0,top
H20,MountingHole,HOLE_M2,236.5375,-91.28125,0.0,top
J1,JST SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,40.275,-46.0375,270.0,bottom
R1,100,R_0402_1005Metric,131.550562,-86.512696,180.0,bottom
R10,100k,R_0402_1005Metric,47.7025,-77.7875,180.0,bottom
R11,100k,R_0402_1005Metric,107.250946,-94.192967,0.0,bottom
R12,1k,R_0402_1005Metric,103.033474,-93.163842,180.0,bottom
R14,100k,R_0402_1005Metric,180.975,-85.44125,90.0,bottom
R15,100k,R_0402_1005Metric,188.325,-85.44125,90.0,bottom
R16,100k,R_0402_1005Metric,187.805,-81.47625,180.0,bottom
R17,100k,R_0402_1005Metric,180.975,-87.8225,270.0,bottom
R18,100k,R_0402_1005Metric,184.128884,-92.86875,0.0,bottom
R19,100k,R_0402_1005Metric,188.354462,-88.39,90.0,bottom
R2,100,R_0402_1005Metric,131.551054,-85.44871,180.0,bottom
R20,100k,R_0402_1005Metric,186.815,-92.86875,0.0,bottom
R21,100k,R_0402_1005Metric,51.3875,-76.99375,180.0,bottom
R3,100,R_0402_1005Metric,131.562586,-84.435371,180.0,bottom
R4,100,R_0402_1005Metric,131.55625,-83.398811,180.0,bottom
R5,10k,R_0402_1005Metric,111.300526,-87.705741,270.0,bottom
R6,100k,R_0402_1005Metric,43.16625,-72.23125,180.0,bottom
R7,100k,R_0402_1005Metric,50.59375,-71.72125,90.0,bottom
R8,100k,R_0402_1005Metric,51.3875,-69.56625,90.0,bottom
R9,100k,R_0402_1005Metric,47.92875,-66.675,180.0,bottom
U1,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,105.56875,-86.332867,90.0,bottom
U2,XC6206PxxxMR-Regulator_Linear,SOT-23,37.89375,-53.18125,90.0,bottom
U3,74HC4051,TSSOP16,47.41875,-72.23125,0.0,bottom
U4,OPA354,SOT-23-5,103.98125,-95.84375,90.0,bottom
U5,74HC4051,TSSOP16,184.94375,-88.10625,0.0,bottom
